Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
19230853,战争与和平,Leo Tolstoy,"Tolstoy, Leo",,"=""7806574581""","=""9787806574584""",0,译林出版社,Kindle Edition,726,2011,1869,2025/09/26,2025/06/30,,,read,,,,1,0
3023,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,"Sowell, Thomas",,"=""0465081452""","=""9780465081455""",0,Basic Books,Hardcover,448,2003,2000,2025/09/17,2025/05/12,,,read,,,,1,0
28154510,西西弗神话,Albert Camus,"Camus, Albert","阿尔贝·加缪, 沈志明","=""""","=""""",0,上海译文出版社,Kindle Edition,172,2013,1942,2025/09/15,2025/06/30,,,read,,,,1,0
6484128,The History of the Medieval World: From the Conversion of Constantine to the First Crusade,Susan Wise Bauer,"Bauer, Susan Wise",,"=""0393059758""","=""9780393059755""",0,W. W. Norton & Company,Hardcover,746,2010,2010,2025/09/14,2025/07/08,,,read,,,,1,0
80493508,挪威的森林,村上春树 林少华,"林少华, 村上春树",,"=""""","=""""",0,上海译文出版社,Paperback,200,2014,1987,2025/09/11,2025/07/15,,,read,,,,1,0
202694,Emile: Or Treatise on Education (Great Books in Philosophy),Jean-Jacques Rousseau,"Rousseau, Jean-Jacques",William Harold Payne,"=""1591021111""","=""9781591021117""",0,Prometheus,Paperback,315,2003,1762,2025/09/04,2025/06/20,,,read,,,,1,0
225947,The History of the Ancient World: From the Earliest Accounts to the Fall of Rome,Susan Wise Bauer,"Bauer, Susan Wise",,"=""039305974X""","=""9780393059748""",0,W. W. Norton & Company ,Hardcover,896,2007,2007,2025/08/19,2025/07/08,,,read,,,,1,0
42092510,重返美丽新世界,Aldous Huxley,"Huxley, Aldous",,"=""""","=""""",0,北京时代华文书局有限公司,Kindle Edition,347,2015,1932,2025/08/19,2025/07/27,,,read,,,,1,0
59719801,法治的细节,罗翔,"罗翔, 罗翔",,"=""""","=""""",0,云南人民出版社,Kindle Edition,288,2021,2021,2025/08/18,2025/07/27,,,read,,,,1,0
57836039,ぼくはこんな音楽を聴いて育った (Japanese Edition),大友良英,"大友良英, 大友良英",,"=""""","=""""",0,筑摩書房,Kindle Edition,350,2017,,,2025/08/11,to-read,to-read (#7),to-read,,,,0,0
174237,A Treatise on the Family,Becker,"Becker, Becker",,"=""0674906993""","=""9780674906990""",0,Harvard University Press,Paperback,440,1993,1981,,2025/08/08,to-read,to-read (#6),to-read,,,,0,0
1156110,Micromegas,Voltaire,"Voltaire, Voltaire",Theo Cuff,"=""0140389024""","=""9780140389029""",0,Penguin Classics,Mass Market Paperback,38,1995,1752,2025/07/15,2025/08/07,,,read,,,,1,0
36160370,美丽新世界,Aldous Huxley,"Huxley, Aldous",陈超,"=""""","=""""",0,上海译文出版社,Kindle Edition,287,2017,1932,2025/07/24,2025/06/18,,,read,,,,1,0
43491623,查第格,Voltaire,"Voltaire, Voltaire","傅雷, 伏尔泰","=""""","=""9787532775415""",0,上海人民出版社（北京世纪文景）,Paperback,,2017,1747,2025/07/15,2025/06/17,,,read,,,,1,0
19380,Candide,Voltaire,"Voltaire, Voltaire","Sara Gioacchino Corcos, Don Hagen, Walter Jerrold, Rockwell Kent","=""0486266893""","=""9780486266893""",0,"Dover Publications, Incorporated",Paperback,129,1991,1759,2025/07/15,2025/07/13,,,read,,,,1,0
